Name,County,"Population Census
4/21/1991",Population Census 4/28/1996,Population Census 4/28/2002,Population Census 4/23/2006,Population Census 4/10/2011,Population Census 4/24/2016
Clonee Village,Meath,...,...,173,"1,000",631,826
Clonegal,Carlow / Wexford,219,200,193,231,245,278
Clones,Monaghan,"2,347","2,170","1,947","1,767","1,761","1,680"
Clongeen,Wexford,...,...,224,217,280,267
Clonlara,Clare,399,401,472,504,627,713
Clonmany,Donegal,305,305,393,437,470,428
Clonmel,Tipperary / Waterford,"15,562","16,182","16,910","17,008","17,908","17,140"
Clonmellon,Westmeath,295,272,403,547,634,664
Clonroche,Wexford,418,407,339,356,329,326
Clontibret,Monaghan,...,...,...,...,166,172
Clontuskert,Roscommon,246,262,236,193,188,171
Clonygowan,Offaly,...,...,...,...,190,198
Cloonfad,Roscommon,...,...,...,209,285,308
Cloughduv,Cork,...,...,...,349,350,360
Cloughjordan,Tipperary,476,447,431,394,511,612
Cloyne,Cork,731,673,785,"1,095","1,562","1,803"
Cluain Bú (Cloonboo),Galway,252,265,351,306,381,350
Cnoc na Muirleog (Crocknamurleog),Donegal,307,382,346,346,415,396
Coachford,Cork,433,408,412,439,431,408
Cobh,Cork,"8,219","8,459","9,811","11,303","12,347","12,800"
Coill Dubh (Blackwood),Kildare,693,682,592,684,693,746
Collinstown,Westmeath,...,212,229,294,336,356
Collon,Louth,335,308,424,564,814,896
Collooney,Sligo,612,573,619,892,"1,369","1,610"
Cong,Galway / Mayo,183,197,185,150,178,145
Conna,Cork,217,209,258,376,470,526
Convoy,Donegal,911,907,"1,028","1,193","1,438","1,526"
Coolagary (Walsh Island),Offaly,232,239,241,365,458,443
Coolaney,Sligo,...,...,167,208,866,990
Coolboy,Wicklow,...,...,...,...,144,267
Coolgreany,Wexford,380,356,398,360,370,376
Cootehall,Roscommon,...,...,...,...,...,184
Cootehill,Cavan,"1,791","1,822","1,744","1,892","2,123","1,853"
Cork,Cork City / Cork,"174,400","179,954","186,239","190,384","198,582","208,669"
Corofin,Clare,382,418,382,485,689,776
Corrandulla,Galway,...,...,...,...,...,241
Corrofin,Galway,...,...,...,380,549,627
Courtbrack,Cork,...,...,...,...,...,194
Courtmacsherry,Cork,204,224,259,244,520,590
Courtown Harbour - Riverchapel - Ardamine,Wexford,343,364,502,"1,421","2,857","3,591"
Cratloe,Clare,510,557,656,643,674,692
Craughwell,Galway,232,240,358,414,665,769
Creeslough,Donegal,299,300,304,327,410,393
Crinkle (Crinkill),Offaly,...,...,...,...,...,682
Croagh,Limerick,...,...,...,...,222,216
Cromane,Kerry,157,136,125,139,115,116
Crookstown,Cork,353,345,320,302,285,245
Croom,Limerick,"1,090","1,009","1,056","1,045","1,157","1,159"
Crossakeel,Meath,...,...,...,...,180,181
Crossbarry,Cork,...,...,...,...,354,368
Crosshaven - Churchbay,Cork,"1,583","1,569","1,643","1,921","2,415","2,577"
Crossmolina,Mayo,"1,202","1,103",935,930,"1,061","1,044"
Crusheen,Clare,...,...,...,377,467,543
Culdaff,Donegal,...,...,182,155,264,237
Daingean,Offaly,641,679,777,"1,056","1,037","1,077"
Danescastle,Wexford,...,...,168,218,306,258
Delvin,Westmeath,305,305,271,416,697,740
Derrinturn,Kildare,553,544,791,"1,138","1,541","1,602"
Donabate,Fingal,"1,104","1,868","3,854","5,499","6,778","7,443"
Donard,Wicklow,165,162,201,182,187,196
Donaskeigh,Tipperary,...,...,...,...,147,144
Donegal,Donegal,"2,193","2,296","2,453","2,339","2,607","2,618"
Doneraile,Cork,815,761,800,759,757,780
Donore,Meath,277,293,334,728,692,760
Doohamlat (Doohamlet),Monaghan,...,...,...,...,...,257
Doohooma (Dumha Thuama),Mayo,...,...,...,...,...,112
Doon,Limerick,397,388,407,439,509,516
Doonbeg,Clare,225,220,206,228,272,262
Drangan,Tipperary,...,...,...,...,136,145
Drimoleague,Cork,344,339,363,436,468,451
Drogheda,Louth / Meath,"24,656","25,282","31,020","35,090","38,578","40,956"
Droichead Nua (Newbridge),Kildare,"12,069","13,363","16,739","18,520","21,561","22,742"
Dromahair,Leitrim,329,346,312,503,748,808
Dromina,Cork,229,207,190,213,269,275
Dromineer,Tipperary,...,...,...,118,113,102
Dromiskin,Louth,443,629,949,992,"1,115","1,195"
Drommahane,Cork,622,540,548,801,872,959
Dromore West,Sligo,...,...,...,...,218,227
Drumcollogher,Limerick,387,485,496,524,548,518
Drumconrath,Meath,345,351,389,405,370,345
Drumkeen,Donegal,...,...,...,...,151,193
Drumkeeran,Leitrim,244,220,242,249,252,220
Drumlish,Longford,275,274,277,429,835,931
Drumod,Leitrim,...,...,...,210,432,555
Drumshanbo,Leitrim,588,634,623,665,857,902
Drumsna,Leitrim,160,143,173,217,247,240
Duagh,Kerry,...,...,...,...,209,222
Dublin (Baile Átha Cliath),Dublin City / South Dublin / Dún Laoghaire-Rathdown / Fingal,"929,090","952,692","1,004,614","1,045,769","1,110,627","1,173,179"
Duleek,Meath,"1,718","1,731","2,173","3,236","3,988","4,219"
Dunboyne,Meath,"2,392","3,080","5,363","5,713","6,959","7,272"
Duncannon,Wexford,339,318,303,291,328,305
Duncormick,Wexford,...,...,...,...,...,116
Dundalk,Louth,"30,061","30,195","32,505","35,085","37,816","39,004"
Dunderrow,Cork,...,...,...,...,197,208
Dunderry,Meath,...,...,...,...,186,170
Dundrum,Tipperary,247,219,191,191,220,165
Dunfanaghy,Donegal,280,290,293,316,312,298
Dungarvan,Waterford,"6,920","7,175","7,452","8,362","9,427","9,227"
Dunhill,Waterford,...,...,...,177,209,216
Dunkineely,Donegal,410,395,353,363,375,361
Dunlavin,Wicklow,720,693,814,849,830,838
Dunleer,Louth,"1,104",988,"1,014","1,449","1,786","1,822"
Dunmanway,Cork,"1,404","1,427","1,532","1,522","1,585","1,655"
Dunmore,Galway,427,445,594,614,577,600
Dunmore East,Waterford,"1,038","1,430","1,750","1,547","1,559","1,808"
Dunshaughlin,Meath,"1,275","2,139","3,063","3,384","3,903","4,035"
Durrow,Laois,721,696,717,811,843,835
Durrus,Cork,188,204,283,313,334,305
Easky,Sligo,165,174,211,240,245,239
Edenderry,Offaly,"3,742","3,825","4,559","5,888","6,977","7,359"
Elphin,Roscommon,525,545,527,591,613,565
Emly,Tipperary,334,324,278,293,348,302
Emo,Laois,...,231,220,225,245,257
Emyvale,Monaghan,479,484,583,683,696,701
Enfield,Meath,436,566,"1,072","2,161","2,929","3,239"
Ennis,Clare,"16,058","17,726","22,051","24,253","25,360","25,276"
Enniscorthy,Wexford,"7,655","7,640","8,964","9,538","10,838","11,381"
Enniskerry,Wicklow,"1,238","1,275","1,904","1,881","1,811","1,889"
Ennistymon,Clare,917,920,881,813,957,"1,045"
Erril,Laois,...,...,...,158,196,182
Eyrecourt,Galway,358,337,354,292,264,252
Fahan,Donegal,309,284,338,417,569,588
Farran,Cork,332,331,368,338,335,345
Feakle,Clare,161,159,149,122,113,105
Fedamore,Limerick,...,...,...,215,298,329
Fenit,Kerry,403,390,433,435,527,538
Fennagh,Carlow,...,...,...,...,384,402
Ferbane,Offaly,"1,285","1,270","1,198","1,164","1,165","1,191"
Fermoy,Cork,"4,462","4,469","4,804","5,873","6,489","6,585"
Ferns,Wexford,859,915,985,954,"1,362","1,415"
Fethard,Tipperary,"1,431","1,397","1,388","1,374","1,541","1,545"
Fethard-on-Sea,Wexford,256,290,302,326,321,311
Fiddown,Kilkenny,...,...,...,194,366,369
Fieries,Kerry,...,...,...,...,491,558
Fountainstown,Cork,812,857,852,887,894,993
Foxford,Mayo,974,944,878,"1,058","1,326","1,315"
Foynes,Limerick,650,558,491,606,542,520
Freemount,Cork,...,...,...,...,...,159
